Job Title,Company,Experience Required,Location,Rating,Salary
Data Analyst,Intellect,3-6 Yrs,Gurugram,4.5,Not disclosed
Data Analyst,Wipro,2-7 Yrs,Gurugram,3.7,4.5-9.5 Lacs PA
Data Analyst,HCLTech,4-5 Yrs,Hybrid - Noida,3.5,7-9 Lacs PA
Data Analyst,Gartner,2-6 Yrs,Gurugram,4.2,Not disclosed
Data Analyst,Srijan,1-5 Yrs,Gurugram,3.5,Not disclosed
Data Analyst,Pepsico,10-14 Yrs,Gurugram,4.1,Not disclosed
Data Analyst,Groundtruth,2-7 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",3.4,Not disclosed
Data Analyst,,2-4 Yrs,Gurugram,,Not disclosed
Data Analyst,Navedas,1-6 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",3.7,Not disclosed
Data Analyst,PVH,4-6 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",4.3,Not disclosed
Data Analyst,RSM US in India,3-5 Yrs,"Kolkata, Gurugram, Bengaluru",3.3,Not disclosed
Data Analyst,,3-6 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",,Not disclosed
Data Analyst,,5-10 Yrs,"Noida, Bengaluru, Mumbai (All Areas)",,Not disclosed
Data Analyst,,5-10 Yrs,"Hybrid - Delhi / NCR, Hyderabad",,19-25 Lacs PA
Data Analyst,Bobble App,2-7 Yrs,"Gurgaon, Bengaluru",3.5,Not disclosed
Data Analyst,RSM India,3-8 Yrs,"Kolkata, Hyderabad, Gurugram, Bengaluru",3.4,Not disclosed
Data Analyst,Luminar Technologies,8-13 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",2.5,Not disclosed
Data Analyst,Boston Consulting Group,6-8 Yrs,Gurugram,3.8,Not disclosed
Data Analyst,Axa Xl,3-6 Yrs,"Gurugram, Bengaluru",3.8,Not disclosed
Data Analyst,,5-7 Yrs,Gurugram,,Not disclosed
Data Analyst,,4-8 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",,Not disclosed
Data Analyst,AMERICAN EXPRESS,0-3 Yrs,Gurugram,4.2,Not disclosed
Data Analyst,AMERICAN EXPRESS,0-3 Yrs,Gurugram,4.2,Not disclosed
data analyst / data analytics-- US MNC (Analytics),,3-7 Yrs,"Hybrid - Gurugram, Chennai, Bengaluru",,15-30 Lacs PA
Data Analyst,,0-3 Yrs,Gurugram,,Not disclosed
Data Analyst,S&P Global Inc.,2-5 Yrs,Gurugram,4.1,Not disclosed
Lead data analyst / data analytics-- US MNC (Analytics),,4-9 Yrs,"Hybrid - Gurugram, Chennai, Bengaluru",,20-35 Lacs PA
Data Analyst,,4-7 Yrs,Gurugram,,10-20 Lacs PA
Data Analyst,CashKaro.com,2-4 Yrs,Gurugram,3.7,Not disclosed
Data Analyst,Shalimar Group,5-10 Yrs,Remote,3.8,15-30 Lacs PA
Data Analyst,Maruti Suzuki,4-9 Yrs,Gurugram,4.2,Not disclosed
Data Analyst,Srijan- A Material+ Company,1-5 Yrs,Gurugram,3.5,Not disclosed
data analyst / Marketing analytics-- US MNC (Analytics),,4-8 Yrs,"Hybrid - Gurugram, Chennai, Bengaluru",,15-30 Lacs PA
Data Analyst,,1-5 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",,Not disclosed
Data Analyst,Systechcorp Inc,2-5 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",4.2,Not disclosed
Data Analyst,Systechcorp Inc,2-5 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai, Bengaluru",4.2,Not disclosed
Data Analyst,Maruti Suzuki,4-9 Yrs,Gurugram,4.2,Not disclosed
Data Analyst,Axtria,6-11 Yrs,"Hybrid - Noida, Gurugram, Bengaluru",3.1,Not disclosed
Data Analyst,,4-5 Yrs,New Delhi,,Not disclosed
Data Analyst,Crowdstrike,4-8 Yrs,"New Delhi, Mumbai, Pune, Bengaluru",4.1,Not disclosed
Data Analyst,Accenture,10-14 Yrs,"Hyderabad, Gurugram, Bengaluru",3.9,Not disclosed
Data Analyst,Genpact,1-6 Yrs,Noida,3.8,Not disclosed
Data Analyst,,3-7 Yrs,Noida,,17-18 Lacs PA
Data Analyst,,4-7 Yrs,Gurugram,,15-17 Lacs PA
Data Analyst,Zypp,1-3 Yrs,Gurugram,3.7,Not disclosed
Data Analyst,Global Survey,1-5 Yrs,Noida,5.0,Not disclosed
Data Analyst,Egon Zehnder,3-6 Yrs,Gurugram,3.7,Not disclosed
Data Analyst,Thinksys Software,5-10 Yrs,Remote,3.8,Not disclosed
Data Analyst,Barclays,2-6 Yrs,Noida,3.9,Not disclosed
Data Analyst,Jaipuria Institute of Management Studies,3-6 Yrs,Ghaziabad,4.0,Not disclosed
Data Analyst,,3-5 Yrs,Gurugram,,Not disclosed
Data Analyst,,5-8 Yrs,New Delhi,,Not disclosed
Data Analyst,sRide,3-8 Yrs,"New Delhi, Kolkata, Mumbai, Hyderabad, Pune, Chennai",4.0,Not disclosed
Data Analyst,Gedu Services,3-8 Yrs,Noida,3.2,Not disclosed
Data Analyst,,3-8 Yrs,Gurugram,,Not disclosed
Data Analyst,Gforce Consulting Solutions,3-7 Yrs,Gurugram,4.2,Not disclosed
Data Analyst,Symmetrical Global Search,2-4 Yrs,Noida,3.3,Not disclosed
Data Analyst,VWR International,5-10 Yrs,Gurugram,3.6,Not disclosed
Data Analyst,Innovaccer,4-10 Yrs,Noida,3.5,Not disclosed
Data Analyst,,7-12 Yrs,Faridabad,,Not disclosed
Data Analyst,Infinite,7-12 Yrs,"Noida, Visakhapatnam, Bangalore Rural",3.4,Not disclosed
Data Analyst,Deutsche Bank,6-10 Yrs,Pune,3.9,Not disclosed
Data Analyst,Rockwell Automation,0-5 Yrs,"Pune, Noida, New Delhi, Bengaluru",3.8,Not disclosed
Data Analyst,,1-5 Yrs,Pune,,Not disclosed
Data Analyst,,1-3 Yrs,Pune,,Not disclosed
Data Analyst,,2-7 Yrs,"Pune, Bengaluru, Delhi / NCR",,3.75-5.5 Lacs PA
Data Analyst,,1-4 Yrs,Pune,,Not disclosed
Data Analyst,Cyient,1-10 Yrs,Pune,3.7,Not disclosed
Data Analyst,Markytics Consulting Pvt Ltd,4-5 Yrs,"Pune, Bengaluru, Mumbai (All Areas)",3.2,10-12 Lacs PA
Data Analyst,Abbyy,2-4 Yrs,"Pune, Kolkata, Mumbai, New Delhi, Hyderabad, Chennai, Bengaluru",3.0,Not disclosed
Data Analyst,IntouchCX,2-3 Yrs,Pune,2.9,Not disclosed
Data Analyst,Speed Engineering Solutions,3-8 Yrs,Pune,3.7,Not disclosed
